title,lang,source_name,format,category,cefr_level,license,text
na,en,cefr-sp,sentence-level,reference,A1,CC BY-NC-SA 4.0,Is that your bike ?
na,en,cefr-sp,sentence-level,reference,A1,CC BY-NC-SA 4.0,She had a beautiful necklace around her neck .
na,en,cefr-sp,sentence-level,reference,A1,CC BY-NC-SA 4.0,I forgot to bring my umbrella .
na,en,cefr-sp,sentence-level,reference,A1,CC BY-NC-SA 4.0,The baby kept crying .
na,en,cefr-sp,sentence-level,reference,A1,CC BY-NC-SA 4.0,Do you know what you 're doing this weekend ?
na,en,cefr-sp,sentence-level,reference,A1,CC BY-NC-SA 4.0,No one had money .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Ben must like his new car a lot .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Harrison got very excited when his parents gave him a car .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,I like dogs more than cats .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,"Now I am being called by Softbank , too !"
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Larry has a shark 's tooth .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,He 's already gone to bed .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,He 's very good at taking care of children .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Sushi is raw fish .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Children love to play outdoors .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,I want to eat something sweet .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,I will do it as soon as I return .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Can you draw the British flag ?
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,She 's so quiet that we forget she 's here .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Where are my khaki shorts ?
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,These are the friends whose names you know .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,David sent his friend a wedding gift .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,I wish I had some cool water to drink .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Do n't wear khakis to the business meeting .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Mother was too shy to wear a bikini .
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,Shall I teach you to dance ?
na,en,cefr-sp,sentence-level,reference,A2,CC BY-NC-SA 4.0,This huge store only has three cashiers !
