title,lang,source_name,format,category,cefr_level,license,text
0001.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"everyday i get up at 8 a clock. I always turn my music on. To have a nice day. Firstly, i take my shower. In a second time I breakfast. Then i go to school. But that's depend about my timetable. I don't begin at 8h30 everday so sometimes I watch tv"
0002.xml,en,cefr-asag,document-level,learner,A1,CC BY-NC-SA 4.0,My family is very small. I have a big borther. He is twenty three years old. He is a student.
0003.xml,en,cefr-asag,document-level,learner,A1,CC BY-NC-SA 4.0,My name is {name}
0004.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"Hi my name is {name},"
0005.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"I have one sister, she is married and she has one children. His name is {name} and he is so cute, he loves the mininons and the car. My father and my mother work for the belgium military. They break up when i was 3 years old. My father are married with another women and my mother lives alone."
0006.xml,en,cefr-asag,document-level,learner,A1,CC BY-NC-SA 4.0,"I get up at 7 am on a weekly day, i go to my lessons. And when i come back at home in the evening, ik study a little bit, watch tv, play video games and then i go to sleep at 11 pm."
0007.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"I have a mother and a father and they are stil married. I have too a sister and a brother and I am am the jongest. my sister, pauline, don't live whit us anymore because she lives whith her boyfriend now."
0008.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"I really like playing video games online with my friend . But i do not see only my friend in games . I also like to go ou with them all ; drinking beer, dancing, laughing ,..."
0009.xml,en,cefr-asag,document-level,learner,A1,CC BY-NC-SA 4.0,In my daily life i go to class has the university. The rest of the time i ride horse. After horseriding i study for university and for work for the exams.
0010.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"I have a little family, i live with my father because my mother is dead last year. I have a lot of family to foreign country but i don't see my cousins and my uncle. She lives to France and Germany, for me my father is my alone family."
0011.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"I've one brother and one sister, they are 14 and 4 years old. My mother is 41 years, she works for the communal house of Waterloo and my father is 51 years, he works in a restaurant in Brussel. My parents are separated since 10 years and now, I'm living by my mother. She has a new boyfriend since 5 years. This man has one son of 14 years and we're living in Waterloo. We're the happiest family."
0012.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"I don't know if I prefere to draw or to cook. Drawing, because when I was a little girl, I used to draw everything I saw, everytime. And people told me I was an artist. But now, I don't draw anymore because I think that I don't have this ""mind child"" I had. I'm more intrested by food and health. One day, I want to be vegan, so I love cooking healthy meal, with organic food. It make me feel so good in my body and in my mind."
0013.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"My hobbies are hockey and golf. I like to play with my friends and i enjoy to have a great time after school or something like this. I train 2 times per week and i play a match of hockey 1 time per week-end, it's always the saturday and when i have more time , i play golf ."
0014.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"I get up at 7am and I take a shower! This very important if I want to feel me awake. Every morning I look at my Facebook and I wish ""happy birthday"" to my friends."
0015.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"Last week was the easter break. The first real break in the university school. But that was not the only name of this break, the other is ""pre-blocus"" in french. Also, i'hve study the second week for be ready for my exam session in june. i've just three exam and a english test. I'have learn economy, semiology and english. i've keep the statistics for later. The first week i've just nothing to do. My friends was in vacation but not me. Eat, sleep, show movies and series is for me the best vacation. I've also start sport with jogging in my village but that was hard with the hill of my location."
0019.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"Firstly , I'd like thanking you for the invitation. It had been a long time I didn't take part of a birthday's party. I'm hoping the best."
0024.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"Last summer I went to Thailand with a volunteer organisation. I went to a orphanage, and the projet is to cleaning and painting this orphanage."
0025.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"My biggest memory was in France last year. It was my birthday so we did a party with my best friend, my girlfriend and my parents. but before that, we were gone in a gastronomic restaurant. The same day, I received a gift : a holiday prepaid by my parents for the United States. So this year, I know where I'm going !"
0034.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Last holliday, in jully , I went in Croatia, with my boyfriend for two weeks"
0036.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Four years ago, I went to Bali on holidays with my famiy during two weeks. There we saw many beautiful landscapes and we visited a lot of temples. One day we visited a wonderful temple. The particularity of this temple is that ther were monkeys. But this monkeys were educated by dishonest men. This men had learned to the monkeys to stole the glasses of the tourists and then to render the glasses in exchange of a snoop. Then the dishonest mens asked money to the tourist in exchange of his glasses. That arrived to my aunt who didn't hold her glasses."
0037.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"I went to Lisboa in September. I was with 3 friends there. We lent an appartment not in the center of Lisboa. To go to Lisboa, we had to take a train during 20 minuts. There was a beach only 1 minuts far of the appartment."
0038.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Dear {name},"
0040.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"During the first week of easter's holliday, i went in France for the wedding of my brother. It was absolutly amazing! My family and I where waiting for this moment so much and it was exactly like we wanted. After the wedding, a party was organised at the beach. It's seems crazy when I though that I've spend the wedding of my brother near from the see..."
0041.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"When i was ten yeard old, i walked in the moutain. When i'felt on a rock. The monitor has needed tp call a helicopter. At the hospital, the medecine told me that i has broken my leg. This the longer holliday of my life, sit on a sofa all of the day. The worst in this history, it was the second day of the beging of the holliday, i must waited eleven to back home"
0042.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"I don't know... it's quite hard to imagine what my life would look like in 10 years. Maybe i'm gonna be a famous comuter scientist, who is the author of somes famous piece of software, maybe a virus .... I've always been fascinated by the way botnets where working. That much power in the hands of one (or a few) man. the biggest are controlling millions of computers and are still anonymous, they're just genius."
0043.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"In 10 years time, I would like to be a famous journalist and travel around the world. I really enjoy travelling because I love moving and discover new things. But I also like to be informed and know what is happening in the world. In fact, I think that it is important to know the issues of our world and to try to find solutions about it."
0046.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,In 10 years i will be an avocant. I hope and  will have 2 children. I will be riche because i will work hard. I will travel a lot in the world. I will retourn in Ethiopia and why not stay to live in there. In Ethiopia i will bult a lot bulding  for children. i hope so they will happy.
0047.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Last year, I went to Vietnam with six friends during three weeks. That was very fun, interesting and a little bit hard too. We went first to the capital, Hanoi. It is so different that our culture , there is a lot of people all day all night in the street, we can think that the city never sleep ! After that we went to the beautiful Halong Bay : that's one of the seven beautifulest places in the world and we understood why. that's a paradisiac view and place and we were so grateful to be there."
0051.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"Two years ago I gone in Thaïland for summer holidays. The travel during three weeks and I was with my family, my mom, my dad and my little brother. It was juste awnsome the landschaps was wonderful. We visited the nord of the thailand and of course Bankok the capitalcity. We past one week on a island called kho tao with white beach ans blue water like in a postcard. We simmed with elephant too it was a moment who I can't forget."
0055.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Hi {name},"
0056.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,Thank you very much for you invitation {name}.
0060.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Last year, I went in Italy with my school during 6 days. It was in April so it was warm and sunny every day. First, we went in Rome during 3 days. It's the most beautiful city that I have ever seen. We discovered a lot of monuments such as ""Il colosseo"", ""Fontanta di Trevi"",etc. Then, we went in Florence, another beautiful city ! We also visited a lot of things. Concerning the food, it was obviously delicious because in Italy, all is good ! This trip in Italy is my best momery of a holiday because I was with my friends and so it was very pleasant !"
0061.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"Firstly In 10 years time, I hope that I'll be happy like today. I'll be the boss of my compagny. I hope that i'll be married and that i will explorate the world with my wife, I want to know all about the planet where i live."
0062.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"In 10 years, i will be married to a famous basketball player and have 4 children ; 2 boys and 2 girls. I will leave in a beautiful house in Los Angeles with a big garden and a swimming pool. I will be a professional danser and i will go on Tour with celebrities. I will be a actress to. I will have done many movies with a lot of actors from Hollywod. This is how my life will be in 10 years."
0071.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"I'd like to share you a funny memory about the first time I went to New York. I'm not sure I need to told you because it means I'm very bad at english. I went there to visity my girlfriend who was working as an ""au pair"". During our stay we visited the MoMA wich is a very important building with a lot of rooms where you get easely lost. When we were looking at the pieces of Art in the garden a woman asked us the way to the exit. I decided to improve my english and I explained to her that she needed to go back inside and then turn left. I'm actually sure she did'nt understood me because she respond : ""ok anyway I will find by myself"". I was very disapointed because I was pretty sure my english was correct and clear. That was for me an interesting holiday's memory about my english level wich is the point of this exercise."
0075.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,Hey buddy !
0076.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Hi {name},"
0077.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"In 10 years, I would like to live and work in Canada because I love this country. I hope I would work in a big company in the Human Resources. I also hope that I will have a husband and 2 children. I think that my family will miss me and I will miss them but I don't want to stay in Belgium. It's my country but there is no future for my generation and the governement don't do the best for the poeple. They only think for the money."
0079.xml,en,cefr-asag,document-level,learner,A1,CC BY-NC-SA 4.0,I would like a family with a man and 2 children.
0083.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,I hope that I will have a job in computer sciences in a society whether as a work in Belgium or in an other country. I may have a fiancee with whom I will live in a flat or a little house that we will praise. I would also like to have visit Japan once or twice... This is what I Imagine.
0085.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,I went to the USA 2years ago. It was an amazing trip.
0088.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Hello {name},"
0090.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"3 years ago, I went to New-York in June. It was my best holiday at all because this famous city that never sleep is a wonderfull  city ! I went there with my parents and my little brother. Every morning we went to a Starbuck to eat bagels and to drink a coffee like a real New-Yorker. We saw a lot of famous places like Times Square, China town, and so one. We also saw many places of movies, it was very cool !"
0091.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"My best memory of a holiday was San Torini. The sun was shining and the lanscape were beautiful. San Torini is an island in West Greece. There ares many white en little houses. the guide tells us the was in fact hotel today. she also tells us why these houses are whites, it's to keep cold air iside. there were also many orthodoxe chrurch. there were white with a blauw hood."
0103.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"Good morning my dear,"
