text,cefr_level
Is that your bike ?,A1
She had a beautiful necklace around her neck .,A1
I forgot to bring my umbrella .,A1
The baby kept crying .,A1
Do you know what you 're doing this weekend ?,A1
No one had money .,A1
Ben must like his new car a lot .,A2
Harrison got very excited when his parents gave him a car .,A2
I like dogs more than cats .,A2
"Now I am being called by Softbank , too !",A2
Larry has a shark 's tooth .,A2
He 's already gone to bed .,A2
He 's very good at taking care of children .,A2
Sushi is raw fish .,A2
Children love to play outdoors .,A2
I want to eat something sweet .,A2
I will do it as soon as I return .,A2
Can you draw the British flag ?,A2
She 's so quiet that we forget she 's here .,A2
Where are my khaki shorts ?,A2
These are the friends whose names you know .,A2
David sent his friend a wedding gift .,A2
I wish I had some cool water to drink .,A2
Do n't wear khakis to the business meeting .,A2
Mother was too shy to wear a bikini .,A2
Shall I teach you to dance ?,A2
This huge store only has three cashiers !,A2
These were the men who ran the red light .,A2
His wife is Vietnamese .,A2
They were cycling in the mountains .,A2
They 've just asked her to stay another year .,A2
I have lunch after third period .,A2
This iPad is as fast as a desktop computer .,A2
It was past twelve when we arrived home .,A2
I find it easy to sleep .,A2
He planned to kill the president .,A2
I wish I could have stayed there forever on that beach .,A2
I could n't do it even if I tried .,A2
Keep your knees up when you jump .,A2
You may drive my car .,A2
Driving is something I enjoy doing .,A2
"Do your work , or you wo n't get paid .",A2
I wish it could be different .,A2
It 's hard to tell if these are my socks or his .,A2
I always wanted to be an athlete .,A2
She 's changed her major from math to chemistry .,A2
Were there any dresses you wanted to buy ?,A2
Carley went shopping for a dress today .,A2
He has a talking dog .,A2
What 's the date today ?,A2
I thought I had to talk to him .,A2
I thought I saw him .,A2
There is very little traffic on Sundays here .,A2
He ran to the bus stop .,A2
Sugar was bad for Henry .,A2
We always see red fruit in the autumn .,A2
You can find the contractor in his office .,A2
I 'm looking for a carpenter .,A2
Let 's go for a bike ride .,A2
The divers were protected by a metal cage .,A2
He has done more than anyone else .,A2
I was called twice about it .,A2
Those musicians ' guitars were stolen .,A2
We should ask Amanda how to start a volunteer project .,A2
We went to look for food .,A2
Do you know what to say if you are stopped by the police ?,A2
Megan started playing soccer during the summer break .,A2
I do n't often wear ball gowns .,A2
John did n't know why Amanda was so angry at him .,A2
John knew they were bad people .,A2
The driver did n't know where to turn .,A2
I ca n't read all of these books .,A2
It is easy to understand people who speak clearly .,A2
You are as beautiful as ever to me .,A2
She was as helpless as a baby .,A2
It is difficult to talk to her peacefully .,A2
We watch the Olympics on TV .,A2
